FF_NDB,SR_NDB,food_category_id,FF Food description,SR Food description,Nutrient_id,rank,FF_Component,SR_Component,unit_name,SR Mean per 100g,SR Min,SR Max, Std_Error,SR Num_Data_pts,FF Mean per 100g,FF Min,FF Max,FF Median,FF data_points,FF Publication Date
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1226,17900,Proline,Proline,G,0.332,,,,0,0.348,0.3,0.41,0.35,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1219,17200,Valine,Valine,G,0.221,,,,0,0.222,0.19,0.26,0.215,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1010,1600,Sucrose,Sucrose,G,0,0,0,0,12,0,0,0,0,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1211,16400,Threonine,Threonine,G,0.144,,,,0,0.166,0.14,0.19,0.165,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1175,6800,Vitamin B-6,Vitamin B-6,MG,0.037,0.031,0.042,0.001,12,0.058,0.051,0.072,0.057,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1101,6100,"Manganese, Mn","Manganese, Mn",MG,0.003,,,0,12,0.001,0,0.003,0,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1293,12900,"Fatty acids, total polyunsaturated","Fatty acids, total polyunsaturated",G,0.003,,,,0,0.006,0,0.01,0.01,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1220,17300,Arginine,Arginine,G,0.096,,,,0,0.131,0.12,0.15,0.13,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1095,5900,"Zinc, Zn","Zinc, Zn",MG,0.42,0.28,0.45,0.003,27,0.45,0.39,0.52,0.43,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1112,8720,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),UG,1.2,0.1,1.9,0.061,24,1.1,0.8,1.56,1,24,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1170,6700,Pantothenic acid,Pantothenic acid,MG,0.357,0.342,0.365,0.005,4,0.388,0.33,0.455,0.376,6,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1122,7530,Lycopene,Lycopene,UG,0,,,,0,0,0,0,0,6,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1126,8100,"Tocopherol, gamma","Tocopherol, gamma",MG,0,0,0,0,12,0,0,0,0,6,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1180,7220,"Choline, total","Choline, total",MG,15.6,,,,0,18.2,16,20.3,18.3,6,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1292,11400,"Fatty acids, total monounsaturated","Fatty acids, total monounsaturated",G,0.022,,,,0,0.017,0,0.04,0.015,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1212,16500,Isoleucine,Isoleucine,G,0.174,,,,0,0.182,0.16,0.22,0.18,12,12/16/2019
